School,Common Name,Nickname,City,State,Type,Subdivision,Former Div.,Conference,Reclassified,Full member
Bellarmine University,Bellarmine,Knights,Louisville,KY,Private,Non-football,II,ASUN Conference,2020,2024
Le Moyne College,Le Moyne,Dolphins,Syracuse,NY,Private AJCU,Non-football,II,Northeast Conference,2023,2027
Lindenwood University,Lindenwood,Lions and Lady Lions,Saint Charles,MO,Private,FCS,II,Ohio Valley Conference,2022,2026
Queens University of Charlotte,Queens (NC),Royals,Charlotte,NC,Private,Non-football,II,ASUN Conference,2022,2026
Stonehill College,Stonehill,Skyhawks,Easton,MA,Private,FCS,II,Northeast Conference,2022,2026
Tarleton State University,Tarleton,Texans,Stephenville,TX,Public,FCS,II,Western Athletic Conference,2020,2024
Texas A&M University–Commerce,Texas A&M–Commerce,Lions,Commerce,TX,Public,FCS,II,Southland Conference,2022,2026
"University of California, San Diego",UC San Diego,Tritons,La Jolla,CA,Public,Non-football,II,Big West Conference,2020,2024
University of Saint Thomas,St. Thomas,Tommies,Saint Paul,MN,Private,FCS,III,Summit League,2021,2025
University of Southern Indiana,Southern Indiana,Screaming Eagles,Evansville,IN,Public,Non-football,II,Ohio Valley Conference,2022,2026
Utah Tech University,Utah Tech,Trailblazers,Saint George,UT,Public,FCS,II,Western Athletic Conference,2020,2024
