,,,,,,,
School,Common Name,Teams,Location,State,Type,Division,D-I Sports
Adelphi University,Adelphi,Panthers,Garden City,NY,Private,II,1
Adrian College,Adrian,Bulldogs,Adrian,MI,Private,III,1
Alma College,Alma,Scots,Alma,MI,Private,III,1
American International College,American International,Yellow Jackets,Springfield,MA,Private,II,2
Assumption University,Assumption,Greyhounds,Worcester,MA,Private,II,1
Augusta University,Augusta,Jaguars,Augusta,GA,Public,II,2
Augustana College,Augustana,Vikings,Rock Island,IL,Private,III,3
Augustana University,Augustana (South Dakota),Vikings,Sioux Falls,SD,Private,II,1
Aurora University,Aurora,Spartans,Aurora,IL,Private,III,1
Austin College,Austin,Kangaroos,Sherman,TX,Private,III,2
Azusa Pacific University,Azusa Pacific,Cougars,Azusa,CA,Private,II,1
Babson College,Babson,Beavers,Wellesley,MA,Private,III,1
Barton College,Barton,Bulldogs,Wilson,NC,Private,II,1
Bates College,Bates,Bobcats,Lewiston,ME,Private,III,1
Belmont Abbey College,Belmont Abbey,Crusaders,Belmont,NC,Private,II,2
Bemidji State University,Bemidji State,Beavers,Bemidji,MN,Public,II,2
Benedict College,Benedict,Tigers,Columbia,SC,Private,II,1
Bentley University,Bentley,Falcons,Waltham,MA,Private,II,1
Biola University,Biola,Eagles,La Mirada,CA,Private,II,2
Bloomfield College,Bloomfield,Bears,Bloomfield,NJ,Private,II,1
Bloomsburg University of Pennsylvania,Bloomsburg,Huskies,Bloomsburg,PA,Public,II,1
Bowdoin College,Bowdoin,Polar Bears,Brunswick,ME,Private,III,1
Bowie State University,Bowie State,Bulldogs,Bowie,MD,Public,II,1
Brandeis University,Brandeis,Judges,Waltham,MA,Private,III,1
Caldwell University,Caldwell,Cougars,Caldwell,NJ,Private,II,1
California Institute of Technology,Caltech,Beavers,Pasadena,CA,Private,III,3
California Lutheran University,Cal Lutheran,Kingsmen,Thousand Oaks,CA,Private,III,2
"California State University, East Bay",Cal State East Bay,Pioneers,Hayward,CA,Public,II,1
"California State University, Los Angeles",Cal State Los Angeles,Golden Eagles,Los Angeles,CA,Public,II,1
"California State University, Monterey Bay",Cal State Monterey Bay,Otters,Seaside,CA,Public,II,1
Carson–Newman University,Carson–Newman,Eagles,Jefferson City,TN,Private,II,1
Carthage College,Carthage,Firebirds,Kenosha,WI,Private,III,1
Castleton University,Castleton,Spartans,Castleton,VT,Public,III,1
Catawba College,Catawba,Indians,Salisbury,NC,Private,II,1
Centenary College of Louisiana,Centenary,Gentlemen,Shreveport,LA,Private,III,1
Central State University,Central State,Marauders,Wilberforce,OH,Public,II,1
Chapman University,Chapman,Panthers,Orange,CA,Private,III,2
Chestnut Hill College,Chestnut Hill,Griffins,Philadelphia,PA,Private,II,1
Chowan University,Chowan,Hawks,Murfreesboro,NC,Private,II,1
City College of the City University of New York,CCNY,Beavers,New York,NY,Public,III,2
"Claremont McKenna College, Harvey Mudd College and Scripps College",Claremont-Mudd-Scripps,Stags,Claremont,CA,Private,III,2
Clarkson University,Clarkson,Golden Knights,Potsdam,NY,Private,III,1
Coker University,Coker,Cobras,Hartsville,SC,Private,II,1
Colby–Sawyer College,Colby–Sawyer,Chargers,New London,NH,Private,III,1
Colby College,Colby,Mules,Waterville,ME,Private,III,1
Colorado College,Colorado College,Tigers,Colorado Springs,CO,Private,III,2
Colorado Mesa University,Colorado Mesa,Mavericks,Grand Junction,CO,Public,II,1
Concordia University Irvine,Concordia,Eagles,Irvine,CA,Private,II,4
Connecticut College,Connecticut College,Camels,New London,CT,Private,III,2
D'Youville University,D'Youville,Saints,Buffalo,NY,Private,II,1
Daemen University,Daemen,Wildcats,Amherst,NY,Private,II,2
Dallas Baptist University,Dallas Baptist,Patriots,Dallas,TX,Private,II,1
Delaware Valley University,Delaware Valley,Aggies,Doylestown,PA,Private,III,1
Drew University,Drew,Rangers,Madison,NJ,Private,III,2
Drury University,Drury,Panthers,Springfield,MO,Private,II,1
Eckerd College,Eckerd,Tritons,Saint Petersburg,FL,Private,II,1
Edward Waters University,Edward Waters,Tigers,Jacksonville,FL,Private,II,1
Elizabeth City State University,Elizabeth City State,Vikings,Elizabeth City,NC,Public,II,1
Elmhurst University,Elmhurst,Bluejays,Elmhurst,IL,Private,III,1
Emmanuel College,Emmanuel,Lions,Franklin Springs,GA,Private,II,2
Erskine College,Erskine,Flying Fleet,Due West,SC,Private,II,2
Fayetteville State University,Fayetteville State,Broncos,Fayetteville,NC,Public,II,1
Felician University,Felician,Golden Falcons,Rutherford,NJ,Private,II,1
Ferris State University,Ferris State,Bulldogs,Big Rapids,MI,Public,II,1
Florida Southern College,Florida Southern,Moccasins,Lakeland,FL,Private,II,1
Fort Valley State University,Fort Valley State,Wildcats,Fort Valley,GA,Public,II,1
Francis Marion University,Francis Marion,Patriots,Florence,SC,Public,II,1
Franklin & Marshall College,Franklin & Marshall,Diplomats,Lancaster,PA,Private,III,1
Franklin Pierce University,Franklin Pierce,Ravens,Rindge,NH,Private,II,2
Fresno Pacific University,Fresno Pacific,Sunbirds,Fresno,CA,Private,II,2
Gannon University,Gannon,Golden Knights,Erie,PA,Private,II,2
Grove City College,Grove City,Wolverines,Grove City,PA,Private,III,1
Gustavus Adolphus College,Gustavus Adolphus,Golden Gusties,Saint Peter,MN,Private,III,2
